Date;Last
30-10-1974;23,352
31-10-1974;23,355
1-11-1974;2,338
4-11-1974;2,343
6-11-1974;23,472
7-11-1974;23,464
8-11-1974;2,335
12-11-1974;2,299
13-11-1974;2,303
14-11-1974;23,135
15-11-1974;23,145
18-11-1974;23,325
19-11-1974;23,235
20-11-1974;23,197
21-11-1974;2,321
22-11-1974;2,32
25-11-1974;23,222
26-11-1974;23,245
27-11-1974;23,247
29-11-1974;23,255
2-12-1974;23,245
3-12-1974;23,235
4-12-1974;23,275
5-12-1974;2,329
6-12-1974;23,297
9-12-1974;2,335
10-12-1974;23,242
11-12-1974;23,157
12-12-1974;2,306
13-12-1974;2,313
16-12-1974;23,293
17-12-1974;23,343
18-12-1974;23,415
19-12-1974;23,295
20-12-1974;23,255
23-12-1974;23,295
24-12-1974;2,331
26-12-1974;2,332
27-12-1974;23,432
30-12-1974;2,346
31-12-1974;2,347
2-1-1975;23,359
3-1-1975;23,414
6-1-1975;23,518
7-1-1975;23,552
8-1-1975;23,485
9-1-1975;23,496
10-1-1975;23,524
13-1-1975;2,354
14-1-1975;23,469
15-1-1975;23,507
16-1-1975;23,535
17-1-1975;23,535
20-1-1975;23,563
21-1-1975;23,635
22-1-1975;23,906
23-1-1975;2,381
24-1-1975;23,832
27-1-1975;23,992
28-1-1975;23,827
29-1-1975;23,708
30-1-1975;23,753
31-1-1975;2,381
3-2-1975;23,747
4-2-1975;23,691
5-2-1975;23,697
6-2-1975;2,368
7-2-1975;23,736
10-2-1975;23,855
11-2-1975;23,827
12-2-1975;23,889
13-2-1975;23,901
14-2-1975;23,906
17-2-1975;23,929
18-2-1975;23,935
19-2-1975;23,975
20-2-1975;2,401
21-2-1975;24,027
24-2-1975;24,225
25-2-1975;24,166
26-2-1975;24,242
27-2-1975;24,278
28-2-1975;2,429
3-3-1975;24,325
4-3-1975;24,295
5-3-1975;24,337
6-3-1975;24,278
7-3-1975;24,079
10-3-1975;24,062
11-3-1975;24,219
12-3-1975;24,102
13-3-1975;24,155
14-3-1975;24,178
17-3-1975;2,419
18-3-1975;24,254
19-3-1975;2,429
20-3-1975;24,242
21-3-1975;24,207
24-3-1975;24,172
25-3-1975;24,155
26-3-1975;24,125
27-3-1975;24,027
1-4-1975;24,079
2-4-1975;24,079
3-4-1975;24,021
4-4-1975;23,906
7-4-1975;23,798
8-4-1975;23,815
9-4-1975;23,781
10-4-1975;23,629
11-4-1975;23,657
14-4-1975;23,568
15-4-1975;23,657
16-4-1975;23,663
17-4-1975;23,674
18-4-1975;23,747
21-4-1975;23,624
22-4-1975;2,354
23-4-1975;23,702
24-4-1975;23,596
25-4-1975;23,524
28-4-1975;23,458
29-4-1975;2,354
30-4-1975;23,524
1-5-1975;23,491
2-5-1975;23,392
5-5-1975;23,408
6-5-1975;23,392
7-5-1975;23,392
8-5-1975;23,397
9-5-1975;23,202
12-5-1975;2,302
13-5-1975;23,079
14-5-1975;23,057
15-5-1975;2,302
16-5-1975;23,026
19-5-1975;23,031
20-5-1975;23,036
21-5-1975;23,143
22-5-1975;23,283
23-5-1975;23,272
27-5-1975;23,267
28-5-1975;23,256
29-5-1975;23,164
30-5-1975;2,317
2-6-1975;23,186
3-6-1975;23,213
4-6-1975;23,186
5-6-1975;23,223
6-6-1975;23,218
9-6-1975;23,175
10-6-1975;2,31
11-6-1975;22,868
12-6-1975;22,789
13-6-1975;22,868
16-6-1975;22,784
17-6-1975;22,717
18-6-1975;22,732
19-6-1975;22,732
20-6-1975;22,717
23-6-1975;22,712
24-6-1975;22,558
25-6-1975;22,548
26-6-1975;22,457
27-6-1975;22,247
30-6-1975;21,844
1-7-1975;22,109
2-7-1975;21,997
3-7-1975;21,959
4-7-1975;21,939
7-7-1975;21,839
8-7-1975;21,964
9-7-1975;22,075
10-7-1975;22,017
11-7-1975;22,007
14-7-1975;21,906
15-7-1975;21,887
16-7-1975;21,829
17-7-1975;21,825
18-7-1975;21,763
21-7-1975;21,739
22-7-1975;21,801
23-7-1975;21,786
24-7-1975;21,796
25-7-1975;21,796
28-7-1975;21,758
29-7-1975;21,749
30-7-1975;21,626
31-7-1975;21,515
1-8-1975;21,496
4-8-1975;21,413
5-8-1975;21,409
6-8-1975;21,286
7-8-1975;21,035
8-8-1975;2,103
11-8-1975;21,022
12-8-1975;21,039
13-8-1975;21,079
14-8-1975;21,079
15-8-1975;21,084
18-8-1975;21,079
19-8-1975;21,173
20-8-1975;21,191
